Title,Author,Pub_Info,Description
"Clavis Bibliorum. The key of the Bible, unlocking the richest treasury of the Holy Scriptures. Whereby the 1 order, 2 names, 3 times, 4 penmen, 5 occasion, 6 scope, and 7 principal parts, containing the subject-matter of the books of the Old and New Testament, are familiarly and briefly opened: for the help of the weakest capacity in the understanding of the whole Bible. Wherein the Scripture-songs ... are metrically translated out of the Hebrew, and analytically","Pococke, Edward, 1604-1691.","London : printed by H.L. for George Calvert, at the Half-Moon, near the little north-door of Saint Pauls, 1665.","[6], 18, [2], 913, [9] p. ; 8â°."
"Clavis Bibliorum. The key of the Bible, unlocking the richest treasury of Holy ScripturesÂ· Whereby the 1 Order, 2 Names, 3 Times, 4 Penmen, 5 Occasion, 6 Scope, and 7 Principal parts, containing the subject-matter of the Books of Old and New Testament, are familiarly and briefly opened: for the help of the weakest capacity in the understanding of the whole Bible. Wherein the Scripture-songs dispersed here and there in Old and New Testament, are metrically","Pococke, Edward, 1604-1691.","London : printed by J.R. for Peter Parker and Thomas Guy, and are to be sold at their shops, at the Leg and Star over against the Royal Exchange, and at the corner-shop of Little Lumbard-street and Cornhill, 1675.","[4], 631, [1] p. ; 2â°."
"Clavis Bibliorum. The key of the Bible, unlocking the richest treasury of Holy ScripturesÂ· Whereby the 1 Order, 2 Names, 3 Times, 4 Penmen, 5 Occasion, 6 Scope, and 7 Principal parts, containing the subject-matter of the Books of Old and New Testament, are familiarly and briefly opened: for the help of the weakest capacity in the understanding of the whole Bible. Wherein the Scripture-songs dispersed here and there in Old and New Testament, are metrically","Taylor, Christopher, approximately 1615-1686.","London : printed by J.R. for Peter Parker, and are to be sold at his shop, at the Leg and Star, over against the Royal Exchange in Cornhill, 1675.","[4], 631, [1] p. ; 2â°."
"A collection of English proverbs digested into a convenient method for the speedy finding any one upon occasion; with short annotations. Whereunto are added local proverbs with their explications, old proverbial rhythmes, less known or exotick proverbial sentences, and Scottish proverbs. The second edition enlarged by the addition of many hundred English, and an appendix of Hebrew proverbs, with annotations and parallels. By J. Ray, M.A. and Fellow of the Royal Society.","Daniel, Richard, active 1664.","Cambridge : printed by John Hayes, printer to the University, for W. Morden, 1678.","[8], 414, [2] p. ; 8â°."
"A commentary on the prophecy of Hosea. By Edward Pococke D.D. Canon of Christ-Church, and regius professor of the Hebrew tongue in the University of Oxford.","Grantham, Thomas, -1664.","Oxford : printed at the Theater, M.DC.LXXXV. [1685]","[8], 716 [i.e. 816], [40] p. ; 2â°."
"A commentary on the prophecy of JoelÂ· By Edward Pococke D.D. Canon of Christ-Church, and Regius Professor of the Hebrew tongue in the University of Oxford.","Wilson, Thomas, 1563-1622.","Oxford : printed at the Theater, M.DC.XCI. [1691]","[12], 173, [3] p. : plan ; 2â°."
"A commentary on the prophecy of Malachi. By Edward Pocock D.D. Canon of Christ-Church, and Regius Professor of the Hebrew tongue in the University of Oxford.","Walton, Brian, 1600-1661.","Oxford : printed at the Theater, M. DC. XCII. [1692]","[4], 109, [5] p. ; 2â°."
"A commentary on the prophecy of Malachi, by Edward Pocock D.D. Canon of Christ-Church, and Regius Professor of the Hebrew tongue, in the University of Oxford.","Gouldman, Francis, -1688?.","Oxford : printed at the Theater, M. DC. LXXVII. [1677]","[4], 109, [5] p. ; 2â°."
"A commentary on the prophecy of Micah, by Edward Pocock D.D. Canon of Christ-Church, and regius professor of the Hebrew tongue in the University of Oxford.","Gouldman, Francis, -1688?.","Oxford : printed at the Theater, M.DC.LXXVII. [1677]","[16], 110, [2] p. ; 2â°."
"A commentary on the prophecy of MicahÂ· By Edward Pococke D.D. Canon of Christ-Church, and Regius Professor of the Hebrew tongue in the University of Oxford.","Gouldman, Francis, -1688?.","Oxford : printed at the Theater, M. DC. XCII. [1692]","[16], 111, [1] p. ; 2â°."
"Compendium trium linguarum LatinÃ¦, GrÃ¦cÃ¦, & HebraicÃ¦, in usum studiosÃ¦ & ChristianÃ¦ juventutis, brevi & facili methodo dispositum & exhibitum. A compendium or abridgment of three languages the Latin, Greek, and Hebrew, couched and exhibited in a short and easie method, for the use of the studious and Christian youth.","Leigh, Edward, 1602-1671.","[London] : Printed for Benjamin Clarke in George-Yard in Lombard-street, 1679.","[8] 52, [6], 57, [14], 28, [4], 20 p. : tables ; 8â°."
"A compendivm of the usuall hands of England, Netherlands, France, Spaine and Italie. With the Hebrew, Samaritan, CaldÃ¦an, Syrian, Ã†gyptian, Arabian, Greek, Saxon, Gotick, Croatian, Slavonian, Muscouian, Armenian, Roman, Florentine, Venetian, Saracen Ã†thiopian and Indian characters. With sundry figures of men, beasts, and birds, done a la volee written and inuented by Richard Daniel Gent. and engrauen by Edward Cocker philomath.","Leigh, Edward, 1602-1671.","[London? : s.n., 1663]","[1], 67 leaves : ill. (woodcuts) ; obl. 2â°."
"A complaint to the Lord Protector, by Thomas Grantham, Minister of Waddington, near Lincoln. Concerning the unjust, and illegal ejecting of miserable ministers. These are to be distributed by the author, professor of the speedy way of teaching the Hebrew, Greek and Latine tongues, living at Mr. Martins in the great Old Bayly, near the Ship.","Leigh, Edward, 1602-1671.","[London : s.n., 1656]",16 p. ; 12â°.
"A complete Christian dictionary: wherein the significations and severall acceptations of all the words mentioned in the Holy Scriptures of the Old and New-Testament, are fully opened, expressed, explained. Also, very many ambiguous speeches, hard and difficult phrases therein contained, are plainly interpreted, cleered, and expounded. With a particular dictionary for the Canticles, or Song of solomon. Epistle to the Hebrews. Revelation of St. John. All tending to","Leigh, Edward, 1602-1671.","London : printed for E[llen]. Cotes, and are to be sold by Thomas Williams at the Bible in Little-Britain, M.DC.LV. [1655].","[18], 1262 p., [1] leaf of plates : port. ; 2â°."
"The considerator considered: or, A brief view of certain considerations upon the Biblia polyglotta, the prolegomena and appendix thereof. Wherein, amongst other things, the certainty, integrity, and divine authority of the original texts, is defended, against the consequences of athiests, papists, antiscripturists, &c. inferred from the various readings, and novelty of the Hebrew points, by the author of the said Considerations. The Biblia polyglotta, and","Daniel, Richard, active 1664.","London : printed by Tho: Roycroft, and are to be sold at most book-sellers shops, 1659.","[8], 293, [3] p. ; 8â°."
"A copious dictionary in three parts: I. the English before the Latin,... II. the Latin before the English, ... III. the proper names of persons, places, and other things necessary to the understanding of historians and poets. To which are adjoyned, a table of authours names at large, which in this book are made use of, or mentioned: and also some lesser tractates. The whole being a comprisal of Thomasius and Rider's foundations, Holland's and Holyoak's","Hyde, Thomas, 1636-1703.","Cambridge : Printed by John Hayes, printer to the University, M. DC. LXXVIII. [1678]",[1496] p. ; 4â°.
"A copious dictionary in three parts: I. the English before the Latin, enriched with about ten thousand words more then any former dictionary contains. II. The Latin before the English, with correct and plentifull etymological derivations, philological observations, and phraseological explications. III. The proper names of persons, places, and other things necessary to the understanding of historians and poets. To which are adjoyned, a table of authours names at","Griffith, John, active 1648-1659.","Cambridge : printed by John Hayes, to be sold by G. [George] Sawbridge, J. [John] Place, W. [William] Place, T. [Thomas] Bassett, T. [Thomas] Dring, and J. [John] Leigh, booksellers in London, 1674.",[1496] p. ; 4â°.
"A copious dictionary in three parts: I. The English before the Latin, enriched with about ten thousand words more then any former dictionary contains. II. The Latin before the English, with correct and plentifull etymological derivations, philological observations, and phraseological explications. III. The proper names of persons, places, and other things necessary to the understanding of historians and poets. To which are adjoyned, a table of authours names at","Milner, John, 1628-1702.","Cambridge : printed by John Hayes, to be sold by G. [George] Sawbridge, J. [John] Place, W. [William] Place, T. [Thomas] Bassett, T. [Thomas] Dring, and J. [John] Leigh, booksellers in London, 1674.",[1492] p. ; 4â°.
"Critica sacra in two parts: the first containing observations on all the radices or primitive Hebrew words of the Old Testament, in order alphabetical ... The second philological & theological observations upon all the Greek words of the New Testament, in order alphabetica ... By Edward Leigh ...","Stennett, Jehudah.","London : printed for William Crook .., MDCLXIV. [1664]","[18], 272, [24], 292, [16] p. ; 2â°."
"Critica sacra in two parts: the first containing Observations on all the radices or primitive Hebrew words of the Old Testament, in order alphabetical. Wherein both they (and many derivatives also issuing from them) are fully opened out of the best lexicographers and scholiasts. The third edition, corrected and much enlarged by the authour; with an addition of a supplement to both parts. The second Philological and theological observations upon all the Greek words","Clark, Samuel, 1626-1701.","London : printed by Abraham Miller and Roger Daniel [and John Redmayne], and are to be sold by the booksellers of London, MDCLXII. [1662]","[10], 272, [30], 292, [24], 26, [2], 40, [8] p. ; 2â°."
"Critica sacra: or observations on all the radices, or primitive Hebrew words of the Old Testament in order alphabetical ... By Edward Leigh ... The third edition, corrected and much enlarged by the authour by way of supplement ...","Howell, Humphrey.","London : printed by A[braham]. M[iller]. and are to be sold by the booksellers of London, MDCLXII. [1662]","[8], 272, [24] p. ; 4â°."
"Critica sacra: or, Observations on all the radices, or primitive Hebrew words of the Old Testament in order alphabeticall, wherein both they (and many derivatives also issuing from them) are fully opened, out of the best lexicographers and scholiasts. By Edward Leigh Esquire, Mr of Arts of both universities.","Howell, Humphrey.","London : printed by A. Miller for Thomas Underhill, and are to be sold at his shop at the sign of the blue Anchor and Bible in Pauls Churchyard near the little North door, M.DCL. [1650]","[8], 272, [24] p. ; 2â°."
"A curious collection of books and pamphlets: being the stock of Mr. William Miller, late of London, Bookseller. Consisting in Hebrew, Greek, Latin, English, French, Spanish, Dutch, Portuguese, &c. Will be sold by auction, on Thursday the 20th. instant, at eleven a clock in the forenoon, in Westminster-Hall. Which sale will continue until the number of 1500 bundles are sold off. By [blank]","Coles, Elisha, 1640?-1680.","[London] : Catalogues (price 6d.) are to be sold at Mr. Gillyflower's, in Westminster-Hall; Mr. Crouch's, at the corner of Pope's-Head Alley in Cornhill; Mr. Christopher Bateman, in Middle-Row in Holborn; Mr. Well's, at the Crown in Fleet-street; and at the Guilded Acron [sic], in St. Paul's Church-Yard: at which last place the books are now to be seen, [1695?]","[2], 88, 85-91, [1] p. ; 4â°."
"Daniels copy-book: or, A compendium of the most usual hands of England, Netherland, France, Spain, and Italy, with the Hebrew, Samaritan, CaldÃ¦an, Syrian, Ã†gyptian, Arabian, Greek, Saxon, Gotick, Craotian, Slavonian, Muscovian, Armenian, Roman, Florentine, Venetian, Saracen, Ã†thiopian, and Indian characters; vvith all the hands now most in mode and present use in Christendom, written with a singular dexterity, and after a more easie, ready, free and gentle way","Coles, Elisha, 1640?-1680.","London : printed for Mathew Collins and Francis Cossinet, and are to be sold at the Three Black-Birds in Cannon-street, and at the Anchor and Mariner in Tower-street, 1664.","[4] p., 67 leaves of plates ; obl. 1â°."
"Davids Psalms in metre. Agreeable to the Hebrew, to be sung in usuall tunes. To the benefit of the churches of Christ. By the Reverend Mr. John White minister of Gods Word in Dorchester.","Coles, Elisha, 1640?-1680.","London : printed by S. Griffin for J. Rothwel, and are to be sold by William Churchil in Dorchester, 1655.","[12], 371, [1] p. ; 12â°."
"Davids Psalms in metre. Agreeable to the Hebrew, to be sung in usuall tunes. To he [sic] benefit of the churches of Christ. By the Reverend Mr. John White minister of Gods Word in Dorchester.","Coles, Elisha, 1640?-1680.","London : printed by S. Griffin for J. Rothwel, at the Fountain and Bear in Goldsmiths row in Cheapside, 1655.","[10], 371, [1] p. ; 12â°."
"De ludis orientalibus libri duo, quorum prior est duabus partibus, viz. 1, Historia Shahiludii LatinÃ¨; deinde 2, Historia Shahiludii Heb. Lat. per tres JudÃ¦os. Liber posterior continet Historiam Reliquorum Ludorum Orientis.","Coles, Elisha, 1640?-1680.","[Oxonii : e Theatro Sheldoniano, MDCXCIV. [1694]]","[72], 184, [4], 71, [17], 278 p., 4 folded leaves of plates : ill. ; 8â°."
"A declaration of some of those people in or near London, called Anabaptists, that own, and beleeve, that Gods love, in the death of his son, is extended to all men; and that are in the belief and practice of the doctrine of Christ, contained in Hebrew 6. 1, 2. Humbly presented to the high court of Parliament, and the people of this Common-wealth.","Coles, Elisha, 1640?-1680.","London : printed by Thomas Milbourn for Samuel Cleaver, near the Stone-Chappel in Pauls-Church-yard, [1660]",1 sheet ([1] p.) ; 1/2â°.
"A defence of Arch-bishop Usher against Dr Cary and Dr Isaac Vossius, together with an introduction concerning the uncertainty of chronology; and an appendix touching the signification of the words [Hebrew] and neomÄ“nÃ­a, as also of the men of the Great SynagogueÂ· By John Milner, S.T.B.","T. C. (Thomas Cokayne), 1587-1638.","Cambridge : printed by J. Hayes for Benj. Tooke, and are to be sold by W. Graves bookseller in Cambridge, 1694.","[4], 131, [1] p. ; 8â°."
"Diá¸³duá¸³ mikhlol or, A comprehensive grammar; containing the most material and necessary rules for the reading and attaining the Hebrew tongue. Whereunto is added an English interlineation of the twenty third Psalm; and a grammatical exercitation thereupon. By Jehudah Stennett philebrÃ¦us.","Carpenter, John (Of Riklin in Essex)","London : printed by S. Roycroft for the author, and are to be sold by John Laurence at the Goden Angel in the Poultrey, 1685.","[8], 71, [1] p., [1] folded plate ; 8â°."
"The divine authority of the Holy Scriptures asserted in two discourses: the former shewing the nature and extent of the inspiration vouchsaf't by the Holy Ghost to the penmen of the Scriptures, and the distinct share of each therein. The latter shewing the divine authority of the vowels and accents in the Hebrew text; by new and instrinsick arguments: in a discourse concerning the division of the Bible into chapters and verses. To which is added, A discourse","Fox, George, 1624-1691.","London : printed for Jonathan Robinson, at the Golden Lyon in St. Paul's Church-yard, 1699.","[16], 40, [6], 50, 41-47, [3], 70 p. ; 8â°."
"Duplex annusÂ· Or, A twofold yeere: viz. the Julian and Hebrew account for the yeer since 1657. Containing 1. The superstitious derivation of names given to stars, dayes and months. Arising from the idolatries of the Hebrews in worshipping the sun, moon and stars, under several names. And the ignorance of the Romans, in adopting gods, and ascribing their names to stars, &c. 2. The year restored, or dayes and months set upon their ancient, true, and proper",Aesop.,"London : printed by T[homas]. C[hilde]. for the Company of Stationers, 1657.","[48] p. : ill., tables ; 8â°."
"Duplus annus, or, A twofold yeere viz. the Julian heterodox account, the Hebrew orthodox [account] for the yeer since ... Christ, 1656 ... / by Humphrey Howell.",Homer.,"London : Printed for the Company of Stationers, 1656.",[47] p.
"An English dictionary: explaining the difficult terms that are used in divinity, husbandry, physick, phylosophy, law, navigation, mathematicks, and other arts and sciences. Containing many thousands of hard words (and proper names of places) more than are in any other English dictionary or expositor. Together with the etymological derivation of them from their proper fountains, whether Hebrew, Greek, Latin, French, or any other language. In a method more",Homer.,"London : printed for Samuel Crouch, at the corner shop of Popes-head Aly [sic], on the right hand next Cornhill, 1676.",[308] p. ; 8â°.
"An English dictionary: explaining the difficult terms that are used in divinity, husbandry, physick, phylosophy, law, navigation, mathematicks, and other arts and sciences. Containing many thousands of hard words (and proper names of places) more than are in any other English dictionary or expositor. Together with the etymological derivation of them from their proper fountains, whether Hebrew, Greek, Latin, French, or any other language. In a method more","Owen, James, 1654-1706.","London : printed for Peter Parker, at the Leg and Star over against the Royal Exchange in Cornhill, 1677.",[308] p. ; 4â°
"An English dictionary, explaining the difficult terms that are used in divinity, husbandry, physick, phylosophy, law, navigation, mathematicks, and other arts and sciences. Containing many thousands of hard words (and proper names of places) more than are in any other English dictionary or expositor. Together with the etymological derivation of them from their proper fountains, whether Hebrew, Greek, Latin, French, or any other language. In a method more","Blount, Thomas, 1618-1679.","London : printed for Peter Parker, at the Leg and Star over against the Royal-Exchange in Cornhil, 1684.",[308] p.; 8â°.
"An English dictionary, explaining the difficult terms that are used in divinity, husbandry, physick, philosophy, law, navigation, mathematicks, and other arts and sciences. Containing many thousands of hard words (and proper names of places) more than are in any other English dictionary or expositor. Together with the etymological derivation of them from their proper fountains, whether Hebrew, Greek, Latin, French, or any other language. In a method more","Woodroffe, Timothy, 1593 or 1594-1677.","London : printed for Peter Parker, at the Leg and Star over against the Royal-Exchange in Cornhil, 1685.",[308] p. ; 8â°.
"An English dictionary, explaining the difficult terms that are used in divinity, husbandry, physick, philosophy, law, navigation, mathematicks, and other arts and sciences. Containing many thousands of hard words (and proper names of places) more than are in any other English dictionary or expositor. Together with the etymological derivation of them from their proper fountains, whether Hebrew, Greek, Latin, French, or any other language. In a method more","Humphreys, John, 1637-","London : printed for Peter Parker, at the Leg and Star over against the Royal Exchange in Cornhil, 1692.",[308] p. ; 8â°
"An English dictionary, explaining the difficult terms that are used in divinity, husbandry, physick, philosophy, law, navigation, mathematicks, and other arts and sciences. Containing many thousands of hard words (and proper names of places) more than are in any other English dictionary or expositor. Together with the etymological derivation of them from their proper fountains, whether Hebrew, Greek, Latin, French, or any other language. In a method more","Smith, Thomas, librarian of Cambridge","London : printed for Peter Parker, at the Leg and Star over against the Royal Exchange in Cornhil, 1696.",[372] p. ; 12â°.
"An English-Greek lexicon, containing the derivations, and various significations of all the words in the New TestamentÂ· With a compleat alphabetical table, where the English words are prefixt, and the Greek is adjoyned, ... Whereunto is added, a proxis, or an explanation of the Second of the Romans: an idea of the Greek and Hebrew dialects, contained in the New Testament: an English-Greek-grammar, composed as a further help to those who desire the knowledge of the","Littleton, Adam, 1627-1694.","London : printed for Lodowick Lloyd, next to the Castle in Cornhil, 1661.","[80], 175, 174-254, 253-343, [169], 345-428; [2], 62 p. ; 8â°"
"An English, Hebrew, and Greek concordance of the Holy Scripture; and of the version of the seventy interpreters: with the Apocrypha. Shewing how often the same word in the Hebrew and Greek languages; and also, how many several words are there used, for any one English word occuring in the concordance, which is also here made more compleat. In a perspicuous method. By John Carpenter, A.M.",J. W.,"London : printed for the author, in the year 1700.",[8] p. ; 8â°.
"An exhortation to you who contemne the power of God, and speak evill of it; as of trembling, and quaking, to beware what you doe. The teachers of the world which are brought up at Oxford and Cambridge, and know nothing but naturall things, and naturall books, and the Scripture letter, and the Hebrew, and G[r]eek, which is all but naturall, ...","Humphreys, John, 1637-","[London? : s.n., 1650-1669.]",1 sheet ([1] p.) ; 1/2â°.
Fabularum Ã†sopicarum delectus.,"Tanner, Thomas, 1630-1682.","Oxoniae : e Theatro Sheldoniano, An Dom. MDCXCVIII. Excudebat Johan. Croke, [1698]","[16], 128, [8] p., [1] leaf of plates : ill. (woodcut) ; 8â°."
"The first booke of Homer's Iliads. Translated by Thomas Grantham, professor of the speedy way of teaching the Hebrew, Greek, and Latine tongues in London, at the Golden-Ball in Carter-Lane.","Ness, Christopher, 1621-1705.","London : printed by T. Lock, for the author, 1659.","[4], 13 [i.e. 17], [3] p. ; 4â°."
"The first booke of Homer's Iliads. Translated by Thomas Grantham, M.A. of Peter-House in Cambridge, professor of the speedy way of teaching the Hebrew, Greek, and Latine tongues in London, in White-Bear-Court, over against the golden Ball upon Adlin Hill.","Robertson, William, -1686?.","London : printed by L. Lock, for the author, anno Dom. 1660.","[4], 16, [4] p. ; 4â°."
"A full and exact relation of two old men aged above a thousand years, coming invisibly into the great city of Tholouze in France, from Damascus in Galilea; going in a most miraculous habit, preaching up and down the city, and exhorting them to repentance and pennance, an telling them that their city shall be destroy'd by fire if they do not repent. How several Jesuits disputed with them in prison, in the Latin, Greek, Hebrew and Chaldean tongues. Also, how their","Manasseh ben Israel, 1604-1657.","London : Printed for N. Thompson, MDCLXXX [1680]",4 p. ; 2â°.
"A full and exact relation of two old men coming invisibly into the great city of Tholouze in France, from Damascus in Galilea; going in a most miraculous habit, preaching up and down the city, and exhorting them to repentance and pennance, and telling them that their cit shall be destroy'd by fire if they do not repent. How several Jesuits disputed with them in prison, in the Latin, Greek, Hebrew and Chaldean tongues. Also, how their irons dropt off from their legs","Manasseh ben Israel, 1604-1657.","London : printed for N.T., anno Domini MDCLXXX. [1680]",4 p. ; 2â°.
"A further vindication of the dissenters from the Rector of Bury's unjust accusations, wherein his charge of their being corrupters of the Word of God, is demonstrated to be false and malicious. His pretended justification and confirmation of it to be groundless, weak and self-condemning. The titles of psalms to be divinely inspired. The purity of the Hebrew copies is asserted. The Scotch church and bibles defended. The rector convicted of corrupting the Word of","Manasseh ben Israel, 1604-1657.","London : printed by S[amuel]. Bridge, for Tho. Parkhurst, at the Bible and Three Crowns in Cheapside near Mercers Chapel, 1699.","[2], 37, [1], 41-70 p."
"Glossographia: or A dictionary, interpreting all such hard vvords, whether Hebrew, Greek, Latin, Italian, Spanish, French, Teutonick, Belgick, British or Saxon; as are now used in our refined English tongue. Also the terms of divinity, law, physick, mathematicks, heraldry, anatomy, war, musick, architecture; and of several other arts and sciences explicated. With etymologies, definitions, and historical observations on the same. Very useful for all such as desire","Buxtorf, Johann, 1564-1629.","London : printed by Tho. Newcomb, and are to be sold by Humphrey Moseley, at the Prince's Arms in St Pauls Church-yard, and George Sawbridge at the Bible on Ludgate-hil, 1656.",[688] p. ; 8â°.
